Source	Target	Drug Name
DB12010	nsp1	fostamatinib
DB12010	nsp2	fostamatinib
DB01110	nsp2	miconazole
DB03147	nsp2	flavin adenine dinucleotide
DB12010	nsp3	fostamatinib
DB01110	nsp3	miconazole
DB03147	nsp3	flavin adenine dinucleotide
DB00114	nsp3	pyridoxal phosphate
DB01987	nsp3	cocarboxylase
DB06287	nsp3	temsirolimus
DB09237	nsp3	levamlodipine
DB12010	nsp4	fostamatinib
DB12010	nsp5	fostamatinib
DB01110	nsp5	miconazole
DB12010	nsp6	fostamatinib
DB01110	nsp6	miconazole
DB03147	nsp6	flavin adenine dinucleotide
DB00114	nsp6	pyridoxal phosphate
DB00132	nsp6	alpha-linolenic acid
DB00157	nsp6	nadh
DB00162	nsp6	vitamin a
DB00755	nsp6	tretinoin
DB02659	nsp6	cholic acid
DB03247	nsp6	flavin mononucleotide
DB03796	nsp6	palmitic acid
DB09061	nsp6	cannabidiol
DB12010	nsp7	fostamatinib
DB01110	nsp7	miconazole
DB12010	nsp8	fostamatinib
DB12010	nsp9	fostamatinib
DB01110	nsp9	miconazole
DB00157	nsp9	nadh
DB02659	nsp9	cholic acid
DB03247	nsp9	flavin mononucleotide
DB00143	nsp9	glutathione
DB03619	nsp9	deoxycholic acid
DB05154	nsp9	pretomanid
DB12010	nsp10	fostamatinib
DB01110	nsp10	miconazole
DB12010	nsp11	fostamatinib
DB01110	nsp11	miconazole
DB03247	nsp11	flavin mononucleotide
DB12010	nsp12	fostamatinib
DB01110	nsp12	miconazole
DB03147	nsp12	flavin adenine dinucleotide
DB00114	nsp12	pyridoxal phosphate
DB01987	nsp12	cocarboxylase
DB06287	nsp12	temsirolimus
DB00157	nsp12	nadh
DB02659	nsp12	cholic acid
DB03247	nsp12	flavin mononucleotide
DB09061	nsp12	cannabidiol
DB00144	nsp12	phosphatidyl serine
DB00563	nsp12	methotrexate
DB01017	nsp12	minocycline
DB01051	nsp12	novobiocin
DB01329	nsp12	cefoperazone
DB08872	nsp12	gabapentin enacarbil
DB11901	nsp12	apalutamide
DB14879	nsp12	cefiderocol
DB12010	nsp13	fostamatinib
DB01110	nsp13	miconazole
DB03147	nsp13	flavin adenine dinucleotide
DB00114	nsp13	pyridoxal phosphate
DB01987	nsp13	cocarboxylase
DB00157	nsp13	nadh
DB02659	nsp13	cholic acid
DB03247	nsp13	flavin mononucleotide
DB09061	nsp13	cannabidiol
DB01329	nsp13	cefoperazone
DB11901	nsp13	apalutamide
DB14879	nsp13	cefiderocol
DB01117	nsp13	atovaquone
DB01212	nsp13	ceftriaxone
DB08943	nsp13	isoconazole
DB12010	nsp14	fostamatinib
DB01110	nsp14	miconazole
DB03147	nsp14	flavin adenine dinucleotide
DB12010	nsp15	fostamatinib
DB01110	nsp15	miconazole
DB12010	nsp16	fostamatinib
DB01110	nsp16	miconazole
