Drug ID	Drug Name	nsp
DB12010	fostamatinib	nsp1
DB12010	fostamatinib	nsp2
DB12010	fostamatinib	nsp3
DB03147	flavin adenine dinucleotide	nsp3
DB06287	temsirolimus	nsp3
DB12010	fostamatinib	nsp4
DB12010	fostamatinib	nsp5
DB01110	miconazole	nsp5
DB12010	fostamatinib	nsp6
DB01110	miconazole	nsp6
DB00114	pyridoxal phosphate	nsp6
DB00162	vitamin a	nsp6
DB03247	flavin mononucleotide	nsp6
DB09061	cannabidiol	nsp6
DB12010	fostamatinib	nsp7
DB01110	miconazole	nsp7
DB12010	fostamatinib	nsp8
DB12010	fostamatinib	nsp9
DB01110	miconazole	nsp9
DB02659	cholic acid	nsp9
DB12010	fostamatinib	nsp10
DB12010	fostamatinib	nsp11
DB01110	miconazole	nsp11
DB12010	fostamatinib	nsp12
DB03147	flavin adenine dinucleotide	nsp12
DB01110	miconazole	nsp12
DB00114	pyridoxal phosphate	nsp12
DB03247	flavin mononucleotide	nsp12
DB09061	cannabidiol	nsp12
DB00157	nadh	nsp12
DB01987	cocarboxylase	nsp12
DB08872	gabapentin enacarbil	nsp12
DB14879	cefiderocol	nsp12
DB12010	fostamatinib	nsp13
DB03147	flavin adenine dinucleotide	nsp13
DB01110	miconazole	nsp13
DB03247	flavin mononucleotide	nsp13
DB12010	fostamatinib	nsp14
DB03147	flavin adenine dinucleotide	nsp14
DB01110	miconazole	nsp14
DB12010	fostamatinib	nsp15
DB01110	miconazole	nsp15
DB12010	fostamatinib	nsp16
DB01110	miconazole	nsp16
